순위,이름,stars,URL
1,public-apis/public-apis,471244,https://github.com/public-apis/public-apis
2,EbookFoundation/free-programming-books,395295,https://github.com/EbookFoundation/free-programming-books
3,donnemartin/system-design-primer,366286,https://github.com/donnemartin/system-design-primer
4,vinta/awesome-python,316325,https://github.com/vinta/awesome-python
5,practical-tutorials/project-based-learning,281019,https://github.com/practical-tutorials/project-based-learning
6,NousResearch/hermes-agent,237037,https://github.com/NousResearch/hermes-agent
7,TheAlgorithms/Python,224051,https://github.com/TheAlgorithms/Python
8,yt-dlp/yt-dlp,187230,https://github.com/yt-dlp/yt-dlp
9,Significant-Gravitas/AutoGPT,186914,https://github.com/Significant-Gravitas/AutoGPT
10,microsoft/markitdown,176538,https://github.com/microsoft/markitdown
