ONE,TWO,THREE,FOUR
0,88,69,15
55,70,49,95
27,60,72,59
29,49,28,87
0,87,77,33
88,85,44,60
50,11,26,79
57,39,32,75
47,56,49,94
47,24,16,5
28,42,82,36
73,68,73,52
19,62,46,80
84,63,16,1
40,81,5,32
13,83,99,41
83,31,14,24
93,18,47,8
65,17,83,93
42,79,57,73
47,9,40,77
58,3,52,11
85,56,4,59
43,58,12,45
61,48,13,35
47,14,82,92
28,51,87,72
15,89,76,64
47,31,16,75
16,95,9,12
68,67,24,22
88,87,26,52
91,91,17,50
73,8,74,37
62,26,83,74
35,96,7,34
61,88,14,7
80,37,25,5
57,58,33,5
8,32,42,9
74,47,70,77
69,55,81,22
89,43,35,99
42,59,10,71
12,90,60,6
72,18,45,52
96,7,35,40
96,67,90,89
41,49,45,14
80,40,8,17
75,83,46,50
78,78,45,26
98,74,17,90
60,0,53,85
4,90,3,65
97,78,29,13
90,79,23,77
21,48,22,0
2,7,61,77
94,43,90,76
26,89,44,1
14,7,7,64
79,38,60,93
67,90,48,25
5,17,99,96
17,77,10,17
51,80,28,25
63,88,35,21
71,26,89,5
10,33,45,15
91,55,41,24
59,75,71,31
80,77,34,57
81,70,71,43
46,98,19,94
13,19,46,70
1,47,68,18
62,55,42,87
50,23,82,2
95,8,48,68
93,94,97,91
20,82,1,31
88,31,96,1
94,27,39,56
91,28,67,95
83,28,60,52
71,86,41,25
6,56,33,82
66,6,15,26
45,4,91,32
44,16,31,23
83,38,79,77
72,4,17,56
87,42,57,47
65,35,61,87
44,83,94,80
95,92,43,11
11,69,52,70
43,64,62,11
14,23,73,20
