movie_id,title,release_date,vote_average,vote_count,popularity
27205,인셉션,2010-07-15,8.372,40069,52.8718
24428,어벤져스,2012-04-25,8.073,39563,78.0689
155,다크 나이트,2008-07-16,8.534,36586,60.9409
19995,아바타,2009-12-16,7.609,34578,41.9692
293660,데드풀,2016-02-09,7.625,33227,27.8876
299536,어벤져스: 인피니티 워,2018-04-25,8.242,32781,80.6045
118340,가디언즈 오브 갤럭시,2014-07-30,7.907,30229,17.8689
1726,아이언맨,2008-04-30,7.664,28727,43.116
603,매트릭스,1999-03-31,8.3,28630,45.582
299534,어벤져스: 엔드게임,2019-04-24,8.241,28532,61.1958
120,반지의 제왕: 반지 원정대,2001-12-18,8.444,28266,46.2802
122,반지의 제왕: 왕의 귀환,2003-12-17,8.506,27249,46.9148
99861,어벤져스: 에이지 오브 울트론,2015-04-22,7.277,24951,47.8994
49026,다크 나이트 라이즈,2012-07-17,7.797,24856,34.0979
76341,매드 맥스: 분노의 도로,2015-05-13,7.637,24527,40.7641
271110,캡틴 아메리카: 시빌 워,2016-04-27,7.453,24502,39.4546
121,반지의 제왕: 두 개의 탑,2002-12-18,8.428,24490,35.0624
284054,블랙 팬서,2018-02-13,7.362,23902,26.0239
284052,닥터 스트레인지,2016-10-25,7.425,23840,26.0032
68721,아이언맨 3,2013-04-18,6.932,23819,28.1905
315635,스파이더맨: 홈커밍,2017-07-05,7.333,23818,56.4599
70160,헝거게임: 판엠의 불꽃,2012-03-12,7.222,23658,14.3711
283995,가디언즈 오브 갤럭시 Vol. 2,2017-04-25,7.609,23370,27.2083
1771,퍼스트 어벤져,2011-07-22,7.01,23170,18.2288
272,배트맨 비긴즈,2005-06-10,7.73,23092,27.5106
634649,스파이더맨: 노 웨이 홈,2021-12-15,7.945,22977,119.2476
10138,아이언맨 2,2010-04-28,6.854,22841,32.8451
11,스타워즈 에피소드 4: 새로운 희망,1977-05-25,8.208,22794,32.597
10195,토르: 천둥의 신,2011-04-21,6.771,22733,25.6273
22,캐리비안의 해적: 블랙펄의 저주,2003-07-09,7.834,22697,33.1731
284053,토르: 라그나로크,2017-10-02,7.58,22423,29.4373
297761,수어사이드 스쿼드,2016-08-03,5.917,22375,14.5079
135397,쥬라기 월드,2015-06-06,6.703,21875,21.4156
98,글래디에이터,2000-05-04,8.231,21404,37.3411
557,스파이더맨,2002-05-01,7.352,21319,61.3506
245891,존 윅,2014-10-16,7.463,21272,19.8703
102899,앤트맨,2015-07-14,7.066,21185,23.4067
297762,원더 우먼,2017-05-30,7.204,21163,19.4116
140607,스타워즈 에피소드 7: 깨어난 포스,2015-12-15,7.2,20860,24.5308
263115,로건,2017-02-28,7.8,20776,29.5051
100402,캡틴 아메리카: 윈터 솔져,2014-03-20,7.654,20400,18.4909
49051,호빗: 뜻밖의 여정,2012-12-12,7.381,20010,27.8973
383498,데드풀 2,2018-05-15,7.488,19598,28.7235
24,킬 빌: 1부,2003-10-10,7.97,19345,24.2926
209112,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-23,6.011,19302,20.0979
9806,인크레더블,2004-10-27,7.728,19241,28.3158
1930,어메이징 스파이더맨,2012-06-23,6.759,19036,41.9997
1891,스타워즈 에피소드 5: 제국의 역습,1980-05-20,8.393,18787,17.1994
101299,헝거게임: 캣칭 파이어,2013-11-15,7.425,18721,20.0507
76338,토르: 다크 월드,2013-10-30,6.509,18669,21.9524
198663,메이즈 러너,2014-09-10,7.19,18418,33.7861
207703,킹스맨: 시크릿 에이전트,2015-01-24,7.617,18096,23.3506
374720,덩케르크,2017-07-19,7.451,17915,21.7204
