ORDER_DATE,최고기온,최저기온,강수량
2025-08-27,30.4,22.2,0.0
2025-08-28,30.1,23.9,1.4
2025-08-29,30.6,23.8,31.5
2025-08-30,31.0,23.6,7.7
2025-08-31,29.8,24.1,7.1
2025-09-01,28.0,23.1,23.4
2025-09-02,28.5,19.8,0.0
2025-09-03,30.3,21.2,0.2
2025-09-04,28.6,22.6,26.0
2025-09-05,31.1,22.0,0.4
2025-09-06,29.9,23.8,36.2
2025-09-07,27.3,21.9,0.7
2025-09-08,26.6,20.5,0.2
2025-09-09,26.1,20.9,0.5
2025-09-10,29.3,18.3,0.0
2025-09-11,29.6,19.0,0.0
2025-09-12,26.1,20.1,6.2
2025-09-13,26.3,20.1,58.2
2025-09-14,27.6,20.2,0.1
2025-09-15,28.6,19.7,0.0
2025-09-16,27.1,20.9,13.3
2025-09-17,24.2,20.3,27.8
2025-09-18,24.9,18.2,0.0
2025-09-19,20.4,17.6,12.9
2025-09-20,22.6,16.8,29.7
2025-09-21,25.6,15.6,0.0
2025-09-22,23.8,16.4,0.0
2025-09-23,24.9,17.3,0.0
2025-09-24,24.2,18.5,38.3
2025-09-25,25.4,18.6,0.1
2025-09-26,25.0,16.9,0.0
2025-09-27,26.7,16.7,0.0
2025-09-28,22.7,18.2,23.5
2025-09-29,23.2,16.1,0.0
2025-09-30,22.2,16.2,0.4
2025-10-01,23.5,14.9,0.4
2025-10-02,25.0,16.5,0.0
2025-10-03,23.7,18.1,1.3
2025-10-04,23.3,19.3,0.0
2025-10-05,22.1,19.1,5.6
2025-10-06,20.0,15.5,30.5
2025-10-07,20.7,15.8,16.9
2025-10-08,26.4,16.1,0.0
2025-10-09,21.4,17.6,0.1
2025-10-10,18.5,15.8,20.8
2025-10-11,24.5,16.8,17.7
2025-10-12,21.7,15.9,1.4
2025-10-13,17.9,13.3,25.2
2025-10-14,19.8,13.9,2.4
2025-10-15,24.0,15.6,9.0
2025-10-16,23.6,16.8,6.9
2025-10-17,23.1,14.8,5.0
2025-10-18,17.5,12.7,12.8
2025-10-19,18.0,8.4,0.1
2025-10-20,14.7,5.2,0.1
2025-10-21,13.8,4.3,0.0
2025-10-22,17.7,5.0,0.2
2025-10-23,18.6,10.7,0.5
2025-10-24,19.3,11.1,0.2
2025-10-25,16.7,10.5,0.5
2025-10-26,14.5,10.4,0.0
2025-10-27,9.7,2.4,0.0
2025-10-28,11.5,1.4,0.0
2025-10-29,15.3,4.6,0.0
2025-10-30,16.3,5.7,0.0
2025-10-31,18.1,9.0,1.2
