반,과목,점수
1반,국어,97
1반,국어,88
1반,국어,78
1반,국어,91
1반,국어,75
1반,국어,84
1반,국어,99
1반,국어,74
1반,국어,73
1반,국어,62
1반,영어,56
1반,영어,85
1반,영어,94
1반,영어,69
1반,영어,50
1반,영어,57
1반,영어,95
1반,영어,65
1반,영어,63
1반,영어,61
1반,수학,72
1반,수학,64
1반,수학,77
1반,수학,83
1반,수학,51
1반,수학,81
1반,수학,72
1반,수학,71
1반,수학,74
1반,수학,71
2반,국어,71
2반,국어,98
2반,국어,91
2반,국어,55
2반,국어,64
2반,국어,92
2반,국어,86
2반,국어,82
2반,국어,57
2반,국어,93
2반,영어,93
2반,영어,54
2반,영어,88
2반,영어,53
2반,영어,55
2반,영어,94
2반,영어,81
2반,영어,79
2반,영어,96
2반,영어,84
2반,수학,89
2반,수학,65
2반,수학,62
2반,수학,99
2반,수학,91
2반,수학,79
2반,수학,68
2반,수학,66
2반,수학,68
2반,수학,77
3반,국어,75
3반,국어,86
3반,국어,75
3반,국어,72
3반,국어,58
3반,국어,61
3반,국어,50
3반,국어,50
3반,국어,96
3반,국어,83
3반,영어,81
3반,영어,97
3반,영어,74
3반,영어,89
3반,영어,94
3반,영어,50
3반,영어,65
3반,영어,88
3반,영어,54
3반,영어,71
3반,수학,78
3반,수학,52
3반,수학,61
3반,수학,75
3반,수학,65
3반,수학,86
3반,수학,71
3반,수학,78
3반,수학,63
3반,수학,77
