상품명,판매일,판매수량,단가
삼각김밥,2026-08-01,56,3000
삼각김밥,2026-08-02,19,2000
삼각김밥,2026-08-03,76,3000
삼각김밥,2026-08-04,25,1500
삼각김밥,2026-08-05,79,2000
삼각김밥,2026-08-06,28,2000
삼각김밥,2026-08-07,26,3000
컵라면,2026-08-01,6,2500
컵라면,2026-08-02,34,1500
컵라면,2026-08-03,68,2500
컵라면,2026-08-04,25,1200
컵라면,2026-08-05,62,3000
컵라면,2026-08-06,53,2000
컵라면,2026-08-07,63,1500
우유,2026-08-01,64,2000
우유,2026-08-02,59,2500
우유,2026-08-03,68,1200
우유,2026-08-04,7,3000
우유,2026-08-05,55,3000
우유,2026-08-06,77,1500
우유,2026-08-07,8,1200
생수,2026-08-01,64,1500
생수,2026-08-02,13,1500
생수,2026-08-03,57,1500
생수,2026-08-04,64,2500
생수,2026-08-05,12,2000
생수,2026-08-06,40,1500
생수,2026-08-07,8,1500
초코바,2026-08-01,10,1500
초코바,2026-08-02,8,3000
초코바,2026-08-03,67,1500
초코바,2026-08-04,48,1500
초코바,2026-08-05,78,2500
초코바,2026-08-06,18,2500
초코바,2026-08-07,66,3000
핫바,2026-08-01,57,1500
핫바,2026-08-02,64,2500
핫바,2026-08-03,45,3000
핫바,2026-08-04,19,3000
핫바,2026-08-05,69,1200
핫바,2026-08-06,75,1200
핫바,2026-08-07,5,2500
커피,2026-08-01,12,2000
커피,2026-08-02,12,2000
커피,2026-08-03,39,1200
커피,2026-08-04,9,1500
커피,2026-08-05,45,2500
커피,2026-08-06,11,1200
커피,2026-08-07,76,2500
젤리,2026-08-01,38,1200
젤리,2026-08-02,52,3000
젤리,2026-08-03,48,2000
젤리,2026-08-04,39,1200
젤리,2026-08-05,51,2000
젤리,2026-08-06,5,3000
젤리,2026-08-07,18,2000
