리뷰번호,메뉴명,별점,리뷰내용,가격
1,떡볶이,3.0,양이 좀 적어요,15000
2,돈까스,3.5,다음에 또 시켜야지,8000
3,짜장면,4.5,국물이 진해요,15000
4,마라탕,4.5,다음에 또 시켜야지,18000
5,김밥,3.5,포장 상태 별로,15000
6,돈까스,3.5,배달이 빨라요,22000
7,짜장면,3.0,양이 좀 적어요,18000
8,마라탕,2.0,포장 상태 별로,22000
9,짜장면,4.0,재주문 의사 있음,15000
10,짜장면,5.0,가성비 최고,12000
11,탕수육,3.0,다음에 또 시켜야지,15000
12,떡볶이,5.0,맛있어요!,8000
13,떡볶이,3.5,가성비 최고,8000
14,짜장면,4.5,맛있어요!,12000
15,김밥,5.0,국물이 진해요,12000
16,떡볶이,5.0,포장 상태 별로,8000
17,피자,3.0,재주문 의사 있음,12000
18,마라탕,2.0,재주문 의사 있음,8000
19,마라탕,2.0,양이 좀 적어요,15000
20,짜장면,5.0,다음에 또 시켜야지,9900
21,피자,2.0,포장 상태 별로,8000
22,탕수육,2.0,배달이 빨라요,8000
23,치킨,3.0,재주문 의사 있음,22000
24,김밥,4.5,국물이 진해요,8000
25,떡볶이,3.5,가성비 최고,9900
26,돈까스,4.0,양이 좀 적어요,22000
27,탕수육,4.0,다음에 또 시켜야지,12000
28,탕수육,3.5,맛있어요!,22000
29,탕수육,4.5,재주문 의사 있음,9900
30,마라탕,5.0,배달이 빨라요,8000
