word,meaning
apple,사과
banana,바나나
orange,오렌지
grape,포도
strawberry,딸기
watermelon,수박
peach,복숭아
cherry,체리
lemon,레몬
pineapple,파인애플
policy,정책
number,숫자
garden,정원
bridge,다리
mountain,산
river,강
ocean,바다
forest,숲
desert,사막
island,섬
computer,컴퓨터
keyboard,키보드
monitor,모니터
mouse,마우스
printer,프린터
internet,인터넷
software,소프트웨어
hardware,하드웨어
network,네트워크
database,데이터베이스
teacher,선생님
student,학생
doctor,의사
nurse,간호사
engineer,엔지니어
lawyer,변호사
farmer,농부
artist,예술가
musician,음악가
writer,작가
happy,행복한
sad,슬픈
angry,화난
excited,신난
nervous,긴장한
calm,차분한
brave,용감한
shy,수줍은
kind,친절한
honest,정직한
morning,아침
afternoon,오후
evening,저녁
night,밤
today,오늘
tomorrow,내일
yesterday,어제
week,주
month,달
year,년
book,책
pen,펜
pencil,연필
notebook,공책
eraser,지우개
ruler,자
scissors,가위
paper,종이
desk,책상
chair,의자
family,가족
father,아버지
mother,어머니
brother,형제
sister,자매
friend,친구
neighbor,이웃
husband,남편
wife,아내
child,아이
airplane,비행기
train,기차
bus,버스
subway,지하철
bicycle,자전거
ship,배
taxi,택시
station,역
airport,공항
harbor,항구
kitchen,부엌
bedroom,침실
bathroom,욕실
living room,거실
door,문
window,창문
roof,지붕
wall,벽
floor,바닥
stairs,계단
